Resources,MSE
0.0,0.11000004950002228
1.0,0.020833333333333332
2.0,0.010416666666666666
3.0,0.005208333333333333
4.0,0.0026041666666666665
5.0,0.0013020833333333333
6.0,0.0008174336326961944
7.0,0.0007014020089787803
8.0,0.0006142163173622053
9.0,0.0005463090010409126
10.0,0.0004919224114097606
11.0,0.0004473840749625482
12.0,0.00041024111057716634
13.0,0.0003787927708104246
14.0,0.00035182268187495966
15.0,0.0003284378678345033
16.0,0.0003079679717189809
17.0,0.00028989995191733894
18.0,0.00027383449225042297
19.0,0.00025945614481604916
20.0,0.0002465124099074023
21.0,0.00023479878033914433
22.0,0.00022414785628223585
23.0,0.00021442129417186277
24.0,0.00020550376462808806
25.0,0.0001972983578746201
26.0,0.0001897230476168205
27.0,0.00018270793941939332
28.0,0.00017619310777297823
29.0,0.0001701268799720947
30.0,0.00016446446270433255
31.0,0.00015916683407635318
32.0,0.00015419984309379548
33.0,0.00014953347264953272
34.0,0.00014514123240121464
35.0,0.00014099965559353627
36.0,0.00013708787963894736
37.0,0.00013338729462982667
38.0,0.00012988124728320494
39.0,0.00012655479038005225
40.0,0.00012339446974651133
41.0,0.00012038814237449162
42.0,0.00011752482049727549
43.0,0.00011479453739931155
44.0,0.00011218823150600944
45.0,0.00010969764591281675
46.0,0.00010731524100641393
47.0,0.00010503411822999881
48.0,0.00010284795336900124
49.0,0.00010075093799841128
50.0,9.87377279501213e-05
51.0,9.680339783759825e-05
52.0,9.494340082318048e-05
53.0,9.31535329361626e-05
54.0,9.142990135224281e-05
55.0,8.97688961305697e-05
56.0,8.81671649765357e-05
57.0,8.66215906590267e-05
58.0,8.512927076201004e-05
59.0,8.368749949371679e-05
60.0,8.229375131354459e-05
61.0,8.094566616824414e-05
62.0,7.964103615582746e-05
63.0,7.837779345867487e-05
64.0,7.715399940712014e-05
65.0,7.596783455185317e-05
66.0,7.481758963821813e-05
67.0,7.370165738824159e-05
68.0,7.261852500729706e-05
69.0,7.156676734194037e-05
70.0,7.05450406238396e-05
71.0,6.955207674205328e-05
72.0,6.85866779923208e-05
73.0,6.76477122576526e-05
74.0,6.673410857944642e-05
75.0,6.5844853082702e-05
76.0,6.497898522273942e-05
77.0,6.41355943242104e-05
78.0,6.33138163861862e-05
79.0,6.251283112975932e-05
80.0,6.173185926695065e-05
81.0,6.097015997180771e-05
82.0,6.0227028536443334e-05
83.0,5.9501794196425325e-05
84.0,5.8793818111412793e-05
85.0,5.8102491488260254e-05
86.0,5.742723383499968e-05
87.0,5.676749133517547e-05
88.0,5.612273533296355e-05
89.0,5.549246092036597e-05
90.0,5.4876185618545295e-05
91.0,5.427344814606122e-05
92.0,5.3683807267400375e-05
93.0,5.310684071575858e-05
94.0,5.254214418454901e-05
95.0,5.198933038257421e-05
96.0,5.144802814822252e-05
97.0,5.0917881618430915e-05
98.0,5.039854944850441e-05
99.0,4.988970407919781e-05
100.0,4.939103104775259e-05
101.0,4.890222833984426e-05
102.0,4.8423005779633655e-05
103.0,4.795308445533367e-05
104.0,4.74921961779021e-05
105.0,4.7040082970653104e-05
106.0,4.659649658774636e-05
107.0,4.6161198059665464e-05
108.0,4.573395726393702e-05
109.0,4.531455251947019e-05
110.0,4.49027702030141e-05
111.0,4.44984043863389e-05
112.0,4.41012564928458e-05
113.0,4.371113497240288e-05
114.0,4.332785499328814e-05
115.0,4.295123815019875e-05
116.0,4.258111218735747e-05
117.0,4.2217310735813293e-05
118.0,4.1859673064094524e-05
119.0,4.1508043841429324e-05
120.0,4.116227291280073e-05
121.0,4.082221508515189e-05
122.0,4.0487729924101874e-05
123.0,4.015868156057418e-05
124.0,3.983493850677854e-05
125.0,3.951637348102244e-05
126.0,3.920286324086196e-05
127.0,3.889428842413247e-05
128.0,3.859053339742838e-05
