Resources,MSE
0.0,0.11000004950002228
30.035,0.00820657201469799
74.184,0.0014347220059757406
124.32,0.0005151920594395833
173.1,0.00026634405973263074
223.77,0.00015953498697327234
274.17,0.00010632371436573572
324.3,7.601439988057895e-05
374.38,5.7047867700013895e-05
424.46,4.438550571062352e-05
474.52,3.551736134697538e-05
524.57,2.906486568817078e-05
574.62,2.422327525593277e-05
624.66,2.049847983729618e-05
674.69,1.757163040331099e-05
724.72,1.5229630300920145e-05
774.74,1.3326785553974835e-05
824.77,1.1759201881733519e-05
874.79,1.0453003493502191e-05
924.8,9.35313958742935e-06
974.82,8.417979983464636e-06
1024.8,7.616960084208932e-06
1074.9,6.923513214147098e-06
1124.9,6.321748200951389e-06
1174.9,5.7951582351253e-06
1224.9,5.33172408663505e-06
1274.9,4.921735977967449e-06
1324.9,4.557280851773389e-06
1374.9,4.231857691089733e-06
1424.9,3.940085605882593e-06
1474.9,3.6774799732714525e-06
1524.9,3.4402790857148587e-06
1574.9,3.2253086912311974e-06
1624.9,3.0298752472207597e-06
1674.9,2.8516811369180155e-06
1724.9,2.688756832045725e-06
1774.9,2.5394062383855924e-06
1824.9,2.402162375712034e-06
1875.0,2.275508482431567e-06
1925.0,2.158837711234044e-06
1975.0,2.050915133498572e-06
2024.0,1.9528157117317137e-06
