head_type,rel,tail_type
配件类别,synonym,配件类型
心理学书籍,synonym,心理书籍
配件类型,synonym,配件类别
心理书籍,synonym,心理学书籍
和声编写,synonym,和声编写/和声
发证批准机关,synonym,发证(批准)机关
和声编写/和声,synonym,和声编写
硬盘位,synonym,硬盘盘位
发证(批准)机关,synonym,发证批准机关
登记机关,synonym,登记管理机关
硬盘盘位,synonym,硬盘位
生产厂商,synonym,生产厂家
纪实节目,synonym,纪实类节目
品种类型,synonym,品种类别
国家足球队,synonym,足球国家队
生产厂家,synonym,生产厂商
美食节目,synonym,美食类节目
登记管理机关,synonym,登记机关
在校生,synonym,在校学生
美食类节目,synonym,美食节目
品种类别,synonym,品种类型
足球国家队,synonym,国家足球队
存储容量,synonym,储存容量
纪实类节目,synonym,纪实节目
储存容量,synonym,存储容量
在校学生,synonym,在校生
