Resources,MSE
0.0,0.08366666666666667
25.4,0.009932770372794116
74.978,0.003821674335431741
124.95,0.0024276442864981647
174.97,0.0018060442875936968
224.98,0.0014512303589864209
274.96,0.0012202125452519745
324.97,0.001056739891410975
374.97,0.0009345112134706797
424.97,0.0008393153629677678
474.97,0.0007628628253741039
524.97,0.000699971968572841
574.96,0.0006472410821726506
624.97,0.0006022995886697868
674.97,0.000563513623340529
724.97,0.0005296581950951455
774.97,0.0004998234276846037
824.97,0.0004733138117750485
874.97,0.0004495880400933618
924.97,0.00042821812735171355
974.98,0.0004088572594289735
1012.0,0.0003956563070733526
