Resources,MSE
0.0,0.08333333333333333
1.0,0.02702702702702703
2.0,0.01612903225806452
3.0,0.01149425287356322
4.0,0.00892857142857143
5.0,0.007299270072992702
6.0,0.006172839506172841
7.0,0.005347593582887701
8.0,0.004716981132075472
9.0,0.004219409282700423
10.0,0.0038167938931297717
11.0,0.00348432055749129
12.0,0.003205128205128206
13.0,0.0029673590504451044
14.0,0.0027624309392265197
15.0,0.0025839793281653752
16.0,0.0024271844660194177
17.0,0.0022883295194508014
18.0,0.002164502164502165
19.0,0.0020533880903490765
20.0,0.0019531250000000004
21.0,0.0018621973929236503
22.0,0.0017793594306049825
23.0,0.0017035775127768316
24.0,0.0016339869281045754
