Resources,MSE
0.0,0.000675
1.0,0.00046968611051192316
2.0,0.00036014213609637943
3.0,0.0002920320672841883
4.0,0.00024558671575975437
5.0,0.00021188768383218498
6.0,0.0001863210021033571
7.0,0.00016625984319849457
8.0,0.0001500987316101258
9.0,0.00013680112359322846
10.0,0.0001256679016253049
11.0,0.00011621040453272229
12.0,0.00010807677774290857
13.0,0.00010100722912479855
14.0,9.480576756153947e-05
15.0,8.932175017698941e-05
16.0,8.44374837379661e-05
17.0,8.005968301109805e-05
18.0,7.611345528024411e-05
19.0,7.253798034919246e-05
20.0,6.928335351959437e-05
21.0,6.630824196712487e-05
22.0,6.357812008446942e-05
23.0,6.106392352444684e-05
24.0,5.8741010449808206e-05
25.0,5.6588351183115724e-05
26.0,5.458788973731499e-05
27.0,5.272403614603699e-05
28.0,5.098325936354765e-05
29.0,4.9353758233851994e-05
30.0,4.7825193603468926e-05
31.0,4.638846872008373e-05
32.0,4.503554805926812e-05
33.0,4.3759306956303575e-05
34.0,4.2553406100708465e-05
35.0,4.141218622600011e-05
36.0,4.03305793024662e-05
37.0,3.930403329255419e-05
38.0,3.832844811236652e-05
39.0,3.740012089935378e-05
40.0,3.6515699045723066e-05
41.0,3.5672139741775985e-05
42.0,3.486667500023245e-05
43.0,3.4096781314357674e-05
44.0,3.336015324913066e-05
45.0,3.2654680383245007e-05
46.0,3.1978427116190185e-05
47.0,3.1329614933504634e-05
48.0,3.070660678802524e-05
49.0,3.0107893308331148e-05
50.0,2.9532080589766595e-05
51.0,2.8977879360151252e-05
52.0,2.8444095342922014e-05
53.0,2.7929620666098692e-05
54.0,2.743342618701387e-05
55.0,2.6954554620909152e-05
56.0,2.6492114376858374e-05
57.0,2.604527401750474e-05
58.0,2.561325727018078e-05
59.0,2.5195338526434764e-05
60.0,2.479083877507548e-05
61.0,2.439912192078563e-05
62.0,2.4019591446321018e-05
63.0,2.3651687381456867e-05
64.0,2.3294883546288834e-05
65.0,2.2948685040347193e-05
66.0,2.2612625952326555e-05
67.0,2.2286267268142757e-05
68.0,2.196919495756528e-05
69.0,2.1661018221890337e-05
70.0,2.1361367887060077e-05
71.0,2.1069894928335825e-05
72.0,2.0786269114129243e-05
73.0,2.051017775791245e-05
74.0,2.024132456829003e-05
75.0,1.9979428588342377e-05
76.0,1.9724223216258136e-05
77.0,1.947545530007926e-05
78.0,1.923288430009682e-05
79.0,1.8996281513072116e-05
80.0,1.87654293530236e-05
81.0,1.8540120683825572e-05
82.0,1.8320158199315722e-05
83.0,1.8105353847012174e-05
84.0,1.7895528291902314e-05
85.0,1.7690510417089818e-05
86.0,1.749013685837757e-05
87.0,1.7294251570125884e-05
88.0,1.7102705419961366e-05
89.0,1.6915355810124006e-05
90.0,1.6732066323432083e-05
91.0,1.6552706392017624e-05
92.0,1.6377150987141876e-05
93.0,1.6205280328542255e-05
94.0,1.603697961189084e-05
95.0,1.5872138753061266e-05
96.0,1.5710652148006912e-05
97.0,1.5552418447149773e-05
98.0,1.5397340343267165e-05
99.0,1.5245324371943457e-05
100.0,1.5096280723726882e-05
101.0,1.4950123067198257e-05
102.0,1.480676838221907e-05
103.0,1.4666136802682231e-05
104.0,1.4528151468139659e-05
105.0,1.4392738383727468e-05
106.0,1.4259826287852444e-05
107.0,1.4129346527142686e-05
108.0,1.4001232938201255e-05
109.0,1.3875421735735093e-05
110.0,1.3751851406661604e-05
111.0,1.3630462609823666e-05
112.0,1.3511198080969509e-05
113.0,1.339400254267776e-05
114.0,1.3278822618930055e-05
115.0,1.3165606754053791e-05
116.0,1.3054305135776378e-05
117.0,1.2944869622149805e-05
118.0,1.283725367212019e-05
119.0,1.2731412279532022e-05
120.0,1.262730191037048e-05
121.0,1.2524880443057904e-05
122.0,1.2424107111632537e-05
123.0,1.2324942451648341e-05
124.0,1.2227348248645212e-05
125.0,1.2131287489048146e-05
126.0,1.2036724313362832e-05
127.0,1.1943623971543389e-05
128.0,1.1851952780415449e-05
