Resources,MSE
0.0,0.0013260416666666666
30.604,0.0008348206169467333
77.374,0.0005609272386974652
126.78,0.0004223238162851777
176.22,0.0003399409847390501
225.83,0.0002847243922041799
275.59,0.0002450084723570932
325.38,0.00021508024189118577
375.14,0.00019172129649346615
425.0,0.00017292794547570805
475.01,0.0001574613939687074
525.06,0.00014453332721301118
575.1,0.0001335745726781024
625.06,0.00012417818369413403
674.94,0.00011603164467131457
724.87,0.0001088832644736673
774.82,0.0001025634758997212
824.79,9.693590487290467e-05
874.76,9.18944992970272e-05
924.73,8.735210915171188e-05
974.72,8.323649407022696e-05
1024.7,7.949229900110642e-05
1074.8,7.6062859062241e-05
1124.8,7.292332060840797e-05
1174.8,7.003285515089902e-05
1224.9,6.735779881270049e-05
1274.9,6.488446457260513e-05
1324.9,6.258643204460998e-05
1374.9,6.044569237745236e-05
1424.9,5.8446623001206744e-05
1474.8,5.657922729227108e-05
1524.8,5.482411220009144e-05
1574.8,5.317465148408253e-05
1624.8,5.162158012823428e-05
1674.7,5.015953280318446e-05
1724.7,4.8775356259234156e-05
1774.6,4.746809470699491e-05
1824.6,4.6226679755904276e-05
1874.6,4.50485600626962e-05
1924.7,4.392683057368649e-05
1974.7,4.2861699202108506e-05
2024.7,4.184701134482777e-05
2074.7,4.0879265649903814e-05
2124.8,3.995347143790378e-05
2174.8,3.907041709672251e-05
2224.8,3.822556090491612e-05
2274.8,3.7416476366596216e-05
2324.8,3.6640938282935494e-05
2374.8,3.5896902298544024e-05
2424.8,3.5182486892542265e-05
2474.8,3.4495957480031256e-05
2524.8,3.3835712340912037e-05
2574.8,3.3200270135583763e-05
2624.8,3.258825880255356e-05
2674.8,3.199840566270381e-05
2724.8,3.142952857991507e-05
2774.9,3.0879449267373094e-05
2824.9,3.034933804280656e-05
2874.9,2.9837122739117907e-05
2924.9,2.934191207705758e-05
2974.9,2.8862873002651983e-05
3024.9,2.8399226008423094e-05
3074.9,2.7950240898685672e-05
3124.9,2.7515232950508862e-05
3174.9,2.709355942786931e-05
3224.9,2.668461641165519e-05
3274.9,2.628783591262582e-05
3324.9,2.5902683238289672e-05
3374.9,2.5528654588020385e-05
3424.9,2.5165274853656613e-05
3474.9,2.48120956053878e-05
3524.9,2.4468693244965885e-05
3574.9,2.4134667310245293e-05
3624.9,2.380963891677838e-05
3674.9,2.349324932371142e-05
3724.9,2.3185158612565355e-05
3774.9,2.2885044468668072e-05
3824.9,2.2592601056051884e-05
3874.9,2.230753797755745e-05
3924.9,2.2029579312709188e-05
3974.9,2.175846272665948e-05
4024.9,2.14939386441513e-05
4073.0,2.1245466494807292e-05
