Resources,MSE
0.0,0.000675
30.509,0.00047006349817900456
75.868,0.00032387145943541223
124.8,0.00024250893226550208
175.21,0.00019264986126586026
224.83,0.0001602244623211706
275.03,0.0001369112224161062
325.09,0.00011956290371370645
374.9,0.00010617626659738433
425.01,9.54275486760987e-05
475.1,8.665823355678005e-05
524.98,7.939300070103603e-05
574.95,7.32415161620047e-05
625.04,6.796299900901775e-05
675.06,6.340013574278231e-05
724.99,5.9418130892804326e-05
774.98,5.590279605696948e-05
825.02,5.277723144876258e-05
875.04,4.998372331322598e-05
925.04,4.7472025348108224e-05
975.03,4.5201109518557915e-05
1025.0,4.313832996744016e-05
1075.1,4.125092210581573e-05
1125.1,3.952505560298511e-05
1175.1,3.7937804165729374e-05
1225.1,3.6473112969260155e-05
1275.1,3.511731438384483e-05
1325.1,3.3858700186172585e-05
1375.1,3.2687182580139633e-05
1425.2,3.159191017647378e-05
1475.2,3.056963642773073e-05
1525.2,2.9611447901525556e-05
1575.2,2.871150159488945e-05
1625.3,2.786300021045797e-05
1675.3,2.7064760881120273e-05
1725.4,2.6309519324644772e-05
1775.5,2.5595283502076525e-05
1825.7,2.4917487572350968e-05
1875.9,2.42746633575738e-05
