Resources,MSE
0.0,0.000675
1.0,0.0003584009739079961
2.0,0.0002439702450508974
3.0,0.00018492663017194997
4.0,0.00014889284368026242
5.0,0.00012461169405027212
6.0,0.00010713958330752069
7.0,9.39645795327544e-05
8.0,8.36750234609568e-05
9.0,7.541656118780259e-05
10.0,6.864182812544685e-05
11.0,6.298392887097549e-05
12.0,5.818772386768384e-05
13.0,5.4070289504658916e-05
14.0,5.049705617458996e-05
15.0,4.736682132217211e-05
16.0,4.460201123925666e-05
17.0,4.2142165290973993e-05
18.0,3.9939463554623735e-05
19.0,3.795558736741001e-05
20.0,3.61594712561077e-05
21.0,3.4525664319153465e-05
22.0,3.303311663436592e-05
23.0,3.166426740474439e-05
24.0,3.0404350799545746e-05
25.0,2.9240861176505623e-05
26.0,2.8163136565249677e-05
27.0,2.716203098535868e-05
28.0,2.6229654253424802e-05
29.0,2.5359163600670773e-05
30.0,2.454459545159011e-05
31.0,2.3780728614484403e-05
32.0,2.306297224732144e-05
33.0,2.2387273517844144e-05
34.0,2.175004103388358e-05
35.0,2.1148080988652672e-05
36.0,2.0578543624037403e-05
37.0,2.0038878117783084e-05
38.0,1.952679438769585e-05
39.0,1.9040230606364422e-05
40.0,1.8577325454564735e-05
41.0,1.8136394326042095e-05
42.0,1.771590884239241e-05
43.0,1.7314479153011302e-05
44.0,1.693083858814581e-05
45.0,1.6563830307992643e-05
46.0,1.6212395651392345e-05
47.0,1.5875563936941432e-05
48.0,1.5552443509591946e-05
49.0,1.524221385882932e-05
50.0,1.4944118661728995e-05
51.0,1.465745962670427e-05
52.0,1.4381591032456424e-05
53.0,1.4115914872228142e-05
54.0,1.3859876526506161e-05
55.0,1.361296089827232e-05
56.0,1.3374688954130131e-05
57.0,1.3144614622433164e-05
58.0,1.2922322006153608e-05
59.0,1.2707422873852057e-05
60.0,1.2499554396904058e-05
61.0,1.229837710523946e-05
62.0,1.2103573037366049e-05
63.0,1.1914844063471372e-05
64.0,1.1731910363001436e-05
65.0,1.1554509040364947e-05
66.0,1.138239286436059e-05
67.0,1.121532911861571e-05
68.0,1.1053098551795955e-05
69.0,1.0895494417627548e-05
70.0,1.0742321595893829e-05
71.0,1.0593395786548045e-05
72.0,1.0448542769943821e-05
73.0,1.0307597726940133e-05
74.0,1.0170404613302285e-05
75.0,1.0036815583406647e-05
76.0,9.906690458774622e-06
77.0,9.77989623741955e-06
78.0,9.65630664039622e-06
79.0,9.53580169230312e-06
80.0,9.41826733280805e-06
81.0,9.303595056552966e-06
82.0,9.191681579048486e-06
83.0,9.082428526395587e-06
84.0,8.975742146875363e-06
85.0,8.871533042629564e-06
86.0,8.769715919817886e-06
87.0,8.670209355784485e-06
88.0,8.572935581897857e-06
89.0,8.477820280846862e-06
90.0,8.384792397282496e-06
91.0,8.293783960791385e-06
92.0,8.204729920274174e-06
93.0,8.117567988880676e-06
94.0,8.032238498724991e-06
95.0,7.948684264668469e-06
96.0,7.866850456517003e-06
97.0,7.786684479032462e-06
98.0,7.708135859206465e-06
99.0,7.63115614028881e-06
100.0,7.555698782103036e-06
101.0,7.481719067218174e-06
102.0,7.40917401257925e-06
103.0,7.338022286229531e-06
104.0,7.268224128785563e-06
105.0,7.199741279351453e-06
106.0,7.132536905582386e-06
107.0,7.066575537628771e-06
108.0,7.0018230057120565e-06
109.0,6.9382463811014546e-06
110.0,6.875813920277294e-06
111.0,6.814495012082117e-06
112.0,6.754260127674644e-06
113.0,6.695080773114658e-06
114.0,6.636929444418926e-06
115.0,6.579779584939149e-06
116.0,6.523605544923193e-06
117.0,6.468382543130245e-06
118.0,6.4140866303791744e-06
119.0,6.3606946549174885e-06
120.0,6.308184229505657e-06
121.0,6.2565337001184745e-06
122.0,6.205722116171583e-06
123.0,6.1557292021870656e-06
124.0,6.106535330817696e-06
125.0,6.058121497154394e-06
126.0,6.010469294246224e-06
127.0,5.963560889766739e-06
128.0,5.917379003764474e-06
