Resources,ProbError
0.0000e-00,6.6666e-01
7.4561e-01,5.6915e-01
1.6102e+00,5.2049e-01
2.5646e+00,4.8073e-01
3.5482e+00,4.4718e-01
4.5362e+00,4.1882e-01
5.5294e+00,3.9430e-01
6.5252e+00,3.7236e-01
7.5217e+00,3.5253e-01
8.5197e+00,3.3447e-01
9.5156e+00,3.1804e-01
1.0512e+01,3.0264e-01
1.1510e+01,2.8851e-01
1.2507e+01,2.7564e-01
1.3505e+01,2.6383e-01
1.4503e+01,2.5310e-01
1.5501e+01,2.4331e-01
1.6500e+01,2.3425e-01
1.7497e+01,2.2619e-01
1.8495e+01,2.1847e-01
1.9493e+01,2.1189e-01
2.0490e+01,2.0573e-01
2.1490e+01,2.0015e-01
2.2488e+01,1.9529e-01
2.3486e+01,1.9087e-01
2.4484e+01,1.8725e-01
2.5483e+01,1.8393e-01
2.6480e+01,1.8155e-01
2.7479e+01,1.7887e-01
2.8478e+01,1.7727e-01
2.9475e+01,1.7613e-01
3.0475e+01,1.7583e-01
3.1472e+01,1.7571e-01
3.2471e+01,1.7702e-01
3.3467e+01,1.7646e-01
3.4466e+01,1.7731e-01
3.5464e+01,1.8391e-01
3.6458e+01,1.8602e-01
3.7464e+01,1.8547e-01
3.8459e+01,1.8907e-01
3.9450e+01,1.9986e-01
4.0454e+01,1.9984e-01
4.1436e+01,1.9797e-01
4.2416e+01,2.0748e-01
4.3408e+01,2.1158e-01
4.4473e+01,1.9569e-01
4.5402e+01,2.2324e-01
4.6126e+01,1.1008e-01
