Resources,ProbError
0.0000e-00,6.6666e-01
7.4921e-01,5.6899e-01
1.6086e+00,5.2055e-01
2.5652e+00,4.8044e-01
3.5482e+00,4.4739e-01
4.5372e+00,4.1915e-01
5.5265e+00,3.9418e-01
6.5166e+00,3.7182e-01
7.5094e+00,3.5208e-01
8.5026e+00,3.3450e-01
9.4967e+00,3.1870e-01
1.0489e+01,3.0456e-01
1.1484e+01,2.9204e-01
1.2479e+01,2.8079e-01
1.3473e+01,2.7072e-01
1.4467e+01,2.6259e-01
1.5463e+01,2.5485e-01
1.6457e+01,2.4852e-01
1.7453e+01,2.4409e-01
1.8444e+01,2.4061e-01
1.9436e+01,2.3999e-01
2.0429e+01,2.3930e-01
2.1425e+01,2.4144e-01
2.2407e+01,2.3986e-01
2.3384e+01,2.3668e-01
2.4379e+01,2.6205e-01
2.5380e+01,2.1599e-01
2.6483e+01,1.8591e-01
