Resources,ProbErr
0,0.8750000000000000
1,0.6164317007357878
2,0.48118954523341384
3,0.3795346997648792
4,0.3004863590036849
5,0.23830981717482047
6,0.18916278576745627
7,0.15022173213040158
8,0.11932852164516505
9,0.09480299316534013
10,0.07532498365427742
11,0.05985212653851646
12,0.04755918705953388
13,0.03779183832053068
14,0.030030807776364687
15,0.023863786648730456
16,0.018963294252413943
17,0.015069176185377064
18,0.011974738842998711
19,0.009515751690015062
20,0.007561717894491227
21,0.006008942423146868
22,0.004775026003161487
23,0.003794490929061034
24,0.00301530568985664
25,0.002396123547614981
26,0.001904088311437846
27,0.001513090761336322
28,0.0012023831458825018
29,0.0009554782060234857
30,0.0007592742895362603
31,0.0006033601245646336
32,0.00047946235765783385
