Resources,ProbErr
0,0.8750000000000000
1,0.3004863590036849
2,0.11932852164516505
3,0.04755918705953388
4,0.018963294252413943
5,0.007561717894491227
6,0.00301530568985664
7,0.0012023831458825018
8,0.00047946235765783385
9,0.0001911904386860952
10,7.62391113322547e-5
11,3.0401112850131362e-5
12,1.212274967976601e-5
13,4.8340684293268765e-6
14,1.9276334297657627e-6
15,7.686632319536812e-7
16,3.065121976231211e-7
17,1.2222482392854062e-7
18,4.87383727820756e-8
19,1.9434918452354566e-8
20,7.749874852969185e-9
21,3.0903383185787447e-9
22,1.2322932674280196e-9
23,4.913929263494765e-10
24,1.9595380873482782e-10
25,7.813083513497077e-11
26,3.1152080914864655e-11
27,1.24136256829388e-11
28,4.9544812696922236e-12
29,1.9702017794998028e-12
30,7.823741654533478e-13
31,3.1963320878958257e-13
32,1.2534417948018017e-13
