alpha,helstrom,het_8,het_4,ph_8,ph_4,mis_8,mis_4
0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.1,0.4009917164479698,0.4798281469444807,0.48629293703238063,0.47835483954198255,0.486074914973745,0.42057687107424657,0.43368641260178054
0.2,0.3077396224947866,0.4250018515916336,0.44746818429923674,0.42106297276893,0.44676375364880994,0.34452734480666325,0.3694499553086136
0.3,0.22508015989703067,0.34955078947256435,0.38975659069326174,0.3456441941113617,0.3887029429742065,0.274805594545241,0.30916883881634516
0.4,0.15623133652230914,0.26916704572535044,0.3216209823602414,0.26883188821837367,0.3206258751608583,0.2136091037266783,0.25435759200264585
0.5,0.10246995118967495,0.19563240564389428,0.25167836879612604,0.20033263203431284,0.25123891959406286,0.1621845566450726,0.20606102292947903
0.6,0.06322996859964225,0.1349824284573926,0.1869639229745399,0.14314622440332814,0.18743015241224548,0.12080186076995214,0.16481537098514976
0.7,0.03655054777274924,0.08863350083613042,0.13198434623958888,0.0975564727891528,0.13320220535930316,0.08888149040875093,0.13066876647282422
0.8,0.019714860849125326,0.055365600982768326,0.08862015393891554,0.06292912585395882,0.09029327867736225,0.06522894462962303,0.10324432976841724
0.9,0.009888761376304345,0.032841400579555424,0.056639946864828206,0.038207223490551834,0.05839651588706163,0.04831540357648012,0.08183198401674596
1.0,0.00460007036958876,0.018465228964651415,0.034481885983021376,0.021808439203673924,0.03621457914155757,0.036545957879192015,0.06550298986562053
1.1,0.0019806866324343364,0.009831886648721255,0.020010063123582,0.011780958142189824,0.02137072460219791,0.028470051766403826,0.05324090957726135
1.2,0.0007883994733406396,0.004959259571735486,0.011078981613362293,0.005790704789001011,0.012065859246100152,0.022907826004778697,0.04407025350527871
1.3,0.0002898913304596462,0.002373649666282951,0.005860652106112085,0.00285593794808503,0.006548373749410197,0.01898913837961569,0.037154174968969444
1.4,9.842694802786323e-05,0.0010811105839206858,0.0029683438689838137,0.0015309560277932954,0.003456413344019582,0.016124701927392127,0.031840964499045166
1.5,3.0853402954056364e-05,0.00047033323607847954,0.0014440570054936597,0.0006896225372402531,0.0018243569932921977,0.013941723290441077,0.02766106637146115
