Resources,MSE
0.0,0.08333333333333333
1.0,0.020833333333333332
2.0,0.005208333333333333
3.0,0.0013020833333333333
4.0,0.0003255208333333333
5.0,0.00012335019119279637
6.0,0.00010281719103434094
7.0,8.814455707360071e-05
8.0,7.713668620796052e-05
9.0,6.857299595419324e-05
10.0,6.172077521293668e-05
11.0,5.611357387352e-05
12.0,5.1440329218106995e-05
13.0,4.748563559523245e-05
14.0,4.4095599259193934e-05
15.0,4.115734452813105e-05
16.0,3.858620157431703e-05
17.0,3.631741420010895e-05
18.0,3.430061055086781e-05
19.0,3.249601923764339e-05
20.0,3.0871820202519146e-05
21.0,2.940225221251948e-05
22.0,2.8066236317709794e-05
23.0,2.6846358291497762e-05
24.0,2.5728105382319646e-05
25.0,2.4699286190629096e-05
26.0,2.3749584382273315e-05
27.0,2.2870211549456832e-05
28.0,2.205363443895554e-05
29.0,2.1293358601452207e-05
30.0,2.0583755300316993e-05
31.0,1.99199219139061e-05
32.0,1.92975685063682e-05
33.0,1.8712925017309457e-05
34.0,1.81626648261833e-05
35.0,1.7643841417153346e-05
36.0,1.7153835597639635e-05
37.0,1.669031127430527e-05
38.0,1.6251178210420254e-05
39.0,1.5834560511772997e-05
40.0,1.5438769838819246e-05
41.0,1.5062282538295857e-05
42.0,1.4703720041170417e-05
43.0,1.4361831995289319e-05
44.0,1.4035481697731867e-05
45.0,1.3723633469197305e-05
46.0,1.342534167494563e-05
47.0,1.3139741147099402e-05
48.0,1.2866038803973032e-05
49.0,1.2603506295451394e-05
50.0,1.2351473530792225e-05
51.0,1.2109322967752874e-05
52.0,1.1876484560570074e-05
53.0,1.1652431279786528e-05
54.0,1.1436675129806263e-05
55.0,1.1228763600839913e-05
56.0,1.1028276500948431e-05
57.0,1.0834823121512543e-05
58.0,1.0648039695891987e-05
59.0,1.0467587116493777e-05
60.0,1.0293148880105404e-05
61.0,1.012442923530186e-05
62.0,9.961151509114455e-06
63.0,9.803056593045712e-06
64.0,9.649901571003976e-06
65.0,9.50145847387574e-06
66.0,9.357513147305972e-06
67.0,9.217864220860028e-06
68.0,9.082322168131948e-06
69.0,8.950708448573706e-06
70.0,8.822854722874133e-06
71.0,8.698602134636963e-06
72.0,8.577800651912851e-06
73.0,8.460308462846556e-06
74.0,8.345991420320821e-06
75.0,8.234722531024319e-06
76.0,8.126381484852425e-06
77.0,8.020854220974535e-06
78.0,7.918032527277622e-06
79.0,7.817813670228984e-06
80.0,7.72010005249668e-06
81.0,7.62479889592912e-06
82.0,7.531821947729157e-06
83.0,7.4410852078667155e-06
84.0,7.352508675960238e-06
85.0,7.266016116023746e-06
86.0,7.181534837625497e-06
87.0,7.098995492137864e-06
88.0,7.018331882878077e-06
89.0,6.9394807880474385e-06
90.0,6.862381795473573e-06
91.0,6.786977148247942e-06
92.0,6.7132116004296465e-06
93.0,6.641032282057923e-06
94.0,6.570388572780194e-06
95.0,6.501231983460866e-06
96.0,6.433516045189017e-06
97.0,6.367196205151063e-06
98.0,6.302229728878077e-06
99.0,6.238575608417087e-06
100.0,6.176194476011662e-06
101.0,6.11504852291003e-06
102.0,6.055101422948835e-06
103.0,5.996318260587999e-06
104.0,5.938665463097134e-06
105.0,5.882110736616729e-06
106.0,5.826623005838276e-06
107.0,5.772172357066582e-06
108.0,5.718729984445054e-06
109.0,5.666268139140881e-06
110.0,5.614760081301727e-06
111.0,5.5641800346092e-06
112.0,5.514503143266792e-06
113.0,5.465705431271487e-06
114.0,5.417763763828843e-06
115.0,5.3706558107810555e-06
116.0,5.324360011926566e-06
117.0,5.278855544118035e-06
118.0,5.234122290033184e-06
119.0,5.190140808520136e-06
120.0,5.146892306425381e-06
121.0,5.104358611818632e-06
122.0,5.0625221485343995e-06
123.0,5.02136591195537e-06
124.0,4.9808734459674854e-06
125.0,4.941028821021114e-06
