Resources,Tau
1007.13472,8.9017
998.17984,8.9505
989.34784,8.8356
980.4544000000001,8.8904
971.48416,8.9722
962.65216,8.834
953.9328,8.7164
945.152,8.7839
936.2688,8.8807
927.52896,8.7375
918.9171200000001,8.6154
910.39744,8.5168
901.95456,8.4432
893.56288,8.3955
885.18656,8.3739
876.81024,8.3779
868.49024,8.3188
860.1702399999999,8.3199
851.82464,8.3448
843.43296,8.391
834.97984,8.4542
826.6496,8.3315
818.4166399999999,8.2312
810.25536,8.1607
802.1299200000001,8.1261
794.0198399999999,8.112
785.8944,8.1223
777.7433599999999,8.1544
769.66912,8.0712
761.5744,8.0985
753.5513599999999,8.0221
745.5692799999999,7.982
737.59232,7.9751
729.64608,7.9447
721.7152,7.9305
713.7792,7.9394
705.81248,7.9674
697.92256,7.8907
690.00704,7.9121
682.1632,7.844
674.3500799999999,7.8141
666.55232,7.7996
658.74432,7.8056
650.91584,7.8274
643.05664,7.8587
635.2896,7.7707
627.57888,7.7085
619.89376,7.6845
612.18816,7.7089
604.53376,7.6534
596.91008,7.6209
589.2864,7.6268
581.70368,7.5824
574.14656,7.5573
566.59456,7.548
559.08608,7.5111
551.29088,7.795
543.604736,7.6862
535.844352,7.7602
527.98208,7.8623
519.985664,7.9965
511.82342656,8.1623
503.469056,8.3545
494.904832,8.5639
486.125568,8.7792
477.563392,8.5622
468.782592,8.7807
459.79136,8.9902
451.01568,8.7746
442.46528,8.5506
434.14528,8.323
426.05056,8.0962
417.72032,8.3285
409.6256,8.0943
401.76128,7.8623
393.66143999999997,8.1008
385.31584,8.346
376.73472000000004,8.5836
367.93344,8.8008
358.94272,8.988
350.16704,8.7781
341.61663999999996,8.547
333.32223999999997,8.2979
325.28384,8.0352
317.52192,7.7631
310.03648,7.4857
302.83263999999997,7.2058
295.90528,6.9253
289.25952,6.6452
282.89536,6.3669
276.21888,6.6744
269.83424,6.3833
263.12192,6.7118
256.07168,7.0522
249.33888000000002,6.735
242.91840000000002,6.4183
236.81024000000002,6.1066
231.00928,5.8048
225.48991999999998,5.5175
220.24192,5.2487
214.62016,5.619
209.29023999999998,5.3341
204.21632,5.0715
198.7584,5.4554
192.88576,5.8743
186.57792,6.3107
180.61311999999998,5.9602
174.99136,5.6239
169.68192,5.3096
164.6592,5.0228
159.18592,5.472
153.23647999999997,5.9523
147.6352,5.5983
141.5424,6.093
134.97856000000002,6.5662
127.99488000000002,6.9835
120.66816,7.3244
113.67424,6.9965
107.03872000000001,6.6369
100.78208000000001,6.2557
94.06975999999997,6.7093
86.99903999999998,7.073
80.26112,6.738
73.88672000000003,6.3712
67.90143999999998,5.986
62.300160000000005,5.6012
56.396799999999985,5.9072
50.94400000000002,5.4483
45.921280000000024,5.0237
41.28255999999999,4.6407
36.986879999999985,4.2976
32.99328000000003,3.9895
29.28127999999998,3.7122
25.820159999999987,3.4642
21.86239999999998,3.9545
18.237439999999992,3.6285
14.899200000000008,3.3385
11.811840000000018,3.0862
8.939520000000016,2.8729
5.662719999999979,3.2749
2.7084800000000087,2.9542
0.0,2.7088
