Resources,MSE
0.0,0.08333333333333333
4.0,0.03571428571428571
8.0,0.013157894736842105
12.0,0.00641025641025641
16.0,0.0037313432835820895
20.0,0.0024271844660194173
24.0,0.0017006802721088435
28.0,0.001256281407035176
32.0,0.0009652509652509653
36.0,0.0007645259938837921
40.0,0.0006203473945409429
44.0,0.000513347022587269
48.0,0.0004317789291882556
52.0,0.0003681885125184094
56.0,0.0003176620076238882
60.0,0.0002768549280177187
64.0,0.00024342745861733204
68.0,0.00021570319240724764
72.0,0.00019245573518090838
76.0,0.00017277125086385625
80.0,0.00015595757953836556
84.0,0.0001414827391058291
88.0,0.00012893243940175349
92.0,0.00011798017932987259
96.0,0.00010836584308625921
100.0,9.988014382740711e-05
104.0,9.235315847801995e-05
108.0,8.564576909900651e-05
112.0,7.964319847085059e-05
116.0,7.425007425007424e-05
120.0,6.938662225922843e-05
124.0,6.498570314530803e-05
128.0,6.0990485484264454e-05
