Resources,MSE
0.0,0.08366666666666667
25.179,0.007549614711959854
74.846,0.0028769951295828356
124.91,0.0018415511423701021
174.92,0.0013820796157668497
224.93,0.0011190906934590039
274.93,0.0009471208831530404
324.94,0.0008249331305303937
374.94,0.0007331414007918699
424.94,0.0006613175746867131
474.95,0.0006033656014883628
524.95,0.0005555001469439037
574.95,0.0005151978127284924
624.95,0.0004807323501437521
674.95,0.00045087527257182367
724.96,0.0004247219623788748
774.96,0.0004016076491218113
824.96,0.00038100950594842657
874.96,0.0003625240044061256
924.97,0.0003458281547597171
974.97,0.0003306715853130806
1012.0,0.000320311882880717
