Resources,Tau
1016.69376,5.9764
1010.34496,6.352
1004.27776,6.0654
998.42048,5.8593
992.70144,5.7174
987.07456,5.6276
981.4937600000001,5.5814
975.9180799999999,5.5724
970.32192,5.596
964.6745599999999,5.6482
958.9504,5.7253
953.12896,5.8232
947.4611199999999,5.6673
941.89056,5.5671
936.35584,5.5392
930.816,5.5389
925.2454399999999,5.5669
919.6288,5.6192
914.0940800000001,5.5326
908.52864,5.5686
903.01952,5.5085
897.49504,5.5262
891.8528,5.6414
885.97504,5.876
879.72352,6.2498
873.7536,5.9725
867.98336,5.7712
861.88544,6.0954
856.0281600000001,5.8577
850.33984,5.6872
844.76928,5.5699
839.2755199999999,5.495
833.82272,5.4545
828.2982400000001,5.5234
822.84032,5.4599
817.4131199999999,5.4279
811.9295999999999,5.48
806.5024000000001,5.4262
800.98816,5.5166
795.55072,5.4388
790.1542400000001,5.3934
784.6912,5.4671
779.04384,5.6459
773.0892799999999,5.9554
767.36,5.7289
761.79456,5.5642
756.34688,5.4478
750.976,5.3693
745.65632,5.3209
740.36224,5.2967
735.06816,5.2915
729.76896,5.3014
724.44416,5.3226
719.09376,5.3518
713.7075199999999,5.3861
708.41344,5.2908
703.09376,5.3194
697.7433599999999,5.3525
692.48512,5.2571
687.20128,5.2854
681.8815999999999,5.3177
676.5312,5.3521
671.14496,5.3874
665.86112,5.2854
660.5363199999999,5.3202
655.1808,5.3566
649.92768,5.2544
644.77184,5.1565
639.58528,5.1875
634.35776,5.2231
629.09952,5.2628
623.93856,5.1583
618.87488,5.0618
613.7856,5.0926
608.78336,5.0019
603.75552,5.0282
598.69184,5.063
593.5871999999999,5.106
588.42624,5.1581
583.20896,5.2211
577.90976,5.2977
572.5184,5.3916
567.00928,5.5076
561.359872,5.6499
555.876864,5.4829
550.242304,5.6344
544.427008,5.8155
538.40384,6.023
532.571136,5.8329
526.519808,6.0511
520.6656,5.8545
515.0152192,5.6503
509.571328,5.4438
503.93088,5.6405
498.505728,5.4251
492.874752,5.6307
487.010304,5.8645
481.373184,5.6373
475.968512,5.4044
470.340096,5.6288
464.461824,5.878
458.33216,6.1296
451.97824,6.3547
445.45024,6.5279
439.05536,6.3923
432.83456,6.2225
426.81856,6.0169
420.56704,6.2499
414.14656,6.4225
407.6288,6.5159
401.10591999999997,6.5212
394.624,6.4865
388.1728,6.4492
381.85983999999996,6.3132
375.7824,6.0772
370.03264,5.7502
364.12928,5.9005
358.10816,6.0212
352.4096,5.6992
346.56255999999996,5.8479
340.59776,5.9638
334.9504,5.6508
329.67679999999996,5.2704
324.80768,4.8723
320.30719999999997,4.5004
315.54048,4.7636
311.13728000000003,4.4024
307.0464,4.0935
302.68928,4.3568
298.63424,4.0526
294.8352,3.8027
291.23072,3.6007
287.4112,3.8232
283.79648,3.614
280.35072,3.4455
277.0432,3.3095
273.55647999999997,3.4851
270.21824000000004,3.3384
266.69056,3.5249
262.94272,3.7494
259.39968,3.5447
256.02048,3.3801
252.43135999999998,3.5846
249.02656000000002,3.409
245.75488,3.2677
242.60608000000002,3.1532
239.57504,3.0268
236.62079999999997,2.9556
233.728,2.8955
230.88128,2.8445
228.08064000000002,2.8009
225.20832000000001,2.8706
222.3872,2.8217
219.60703999999998,2.7799
216.86272000000002,2.7438
214.06207999999998,2.8022
211.30239999999998,2.7616
208.57344,2.7268
205.78816,2.7838
202.9312,2.8594
200.12544000000003,2.8074
197.36064,2.7632
194.6368,2.7254
191.84640000000002,2.7885
189.10208,2.7457
186.28096,2.8177
183.36768,2.9133
180.33152,3.038
177.38240000000002,2.9498
174.29503999999997,3.0874
171.30496,2.9888
168.39679999999998,2.9069
165.56032,2.8387
162.78016000000002,2.7817
159.8976,2.8789
157.08672,2.8137
154.32704,2.7591
151.61344000000003,2.7135
148.93568,2.675
146.29376000000002,2.6425
143.59552000000002,2.7005
140.81536,2.7805
138.08640000000003,2.7283
135.40352000000001,2.6848
132.75135999999998,2.6484
130.03776,2.7147
127.36511999999999,2.6721
124.72832,2.6365
122.12223999999998,2.6068
119.54176000000001,2.5821
116.98176000000001,2.5616
114.38080000000002,2.5992
111.80543999999998,2.5749
109.25056000000001,2.555
106.71104000000003,2.5389
104.14080000000001,2.5687
101.59104000000002,2.5492
99.00544000000002,2.586
96.36352,2.6416
93.75743999999997,2.6067
91.08479999999997,2.6745
88.30975999999998,2.7741
85.60127999999997,2.7115
82.93887999999998,2.6606
80.31743999999998,2.6195
77.73183999999998,2.5865
75.17183999999997,2.5603
72.63231999999999,2.5403
70.05184000000003,2.5812
67.39967999999999,2.6489
64.79360000000003,2.6071
62.100480000000005,2.6938
59.45855999999998,2.6406
56.862720000000024,2.5991
54.17471999999998,2.6876
51.537919999999986,2.6333
48.675839999999994,2.866
45.60383999999999,3.0704
42.21440000000001,3.3914
38.312959999999975,3.9003
34.76479999999998,3.5468
30.545920000000024,4.2174
26.813440000000014,3.7367
23.449599999999975,3.362
20.362239999999986,3.086
17.479679999999973,2.8863
14.740479999999991,2.7386
11.683839999999975,3.0529
8.872959999999978,2.8147
5.56031999999999,3.308
2.6521599999999808,2.9105
0.0,2.6523
