Resources,Tau
1008.48128,11.126
997.36576,11.113
986.2604799999999,11.109
975.16032,11.097
964.07552,11.089
953.0009600000001,11.072
941.93664,11.066
930.88768,11.048
919.8694399999999,11.018
908.84608,11.022
897.83296,11.012
886.84032,10.992
875.86304,10.981
864.90112,10.96
853.9801600000001,10.923
843.1155200000001,10.864
832.3379199999999,10.779
821.67808,10.659
811.18208,10.496
800.90112,10.282
790.8864,10.01
780.66688,10.222
770.2783999999999,10.388
760.12032,10.159
749.7881600000001,10.332
739.328,10.46
728.7808,10.549
718.17728,10.602
707.68128,10.495
697.33888,10.344
687.19616,10.143
676.90496,10.287
666.82368,10.081
657.00864,9.8152
647.5212799999999,9.4889
638.4128000000001,9.1071
628.97152,9.4421
619.9142400000001,9.0572
611.28704,8.6299
603.10528,8.1817
595.36896,7.7362
587.1667199999999,8.2008
578.5241599999999,8.6431
569.48736,9.0358
560.881152,8.607
551.87968,9.0014
543.389696,8.4898
535.405056,7.9849
527.927808,7.4771
519.911936,8.0162
511.3987584,8.5129
503.396352,8.0024
495.915008,7.4814
488.929792,6.9852
482.391552,6.5379
476.24192,6.1499
470.42048,5.8214
464.124416,6.2962
457.27232,6.8494
449.83808,7.4364
442.92096,6.9188
436.46976,6.4509
430.42304,6.0461
424.71936,5.7054
418.5088,6.2108
412.672,5.8331
406.2976,6.3762
400.3328,5.9627
394.71616,5.6161
388.57728,6.1396
381.83424,6.7431
374.4768,7.3611
366.55104,7.9221
359.17823999999996,7.3734
351.25248,7.9249
343.87456,7.3799
335.95392000000004,7.9203
328.57088,7.3807
321.74592,6.8294
315.42784,6.3136
309.57056,5.8617
304.08704,5.4822
298.02495999999996,6.059
292.38784,5.6382
286.14144,6.2455
280.35584,5.7891
274.94912,5.4049
269.85983999999996,5.0894
265.02656,4.8332
259.73248,5.292
254.74560000000002,4.9877
249.2416,5.5062
244.08576,5.1535
238.36672,5.7202
233.04703999999998,5.3224
227.1232,5.9224
221.63456000000002,5.4865
215.53152,6.1038
209.89440000000002,5.6387
204.65663999999998,5.2386
199.75168000000002,4.905
195.11808000000002,4.631
190.71488,4.4063
186.49088,4.2216
182.42048,4.0683
178.03776,4.3833
173.20448,4.8329
168.65792,4.5494
164.34176000000002,4.3159
160.22016000000002,4.1232
156.25216,3.9633
152.42752000000002,3.8297
148.70528000000002,3.7172
144.74752,3.9603
140.42111999999997,4.3256
136.31488000000002,4.1092
132.38272,3.9304
128.06655999999998,4.3141
123.98079999999999,4.0886
119.42912000000001,4.5501
115.15904,4.2723
110.35647999999998,4.8031
104.94463999999999,5.4112
98.95424000000003,5.9902
93.41951999999998,5.5344
88.32,5.0974
83.61471999999998,4.7045
79.24736000000001,4.3673
75.16160000000002,4.0865
71.30624,3.8564
66.94912,4.3574
62.88384000000002,4.0653
57.99423999999999,4.887
53.411839999999984,4.5846
49.11104,4.3002
45.076480000000004,4.0356
41.28255999999999,3.792
37.71391999999997,3.5711
33.74079999999998,3.9744
30.033920000000023,3.7061
26.567679999999996,3.4634
23.32159999999999,3.2482
20.259839999999997,3.0584
16.84480000000002,3.4169
13.685760000000016,3.1582
10.757119999999986,2.9292
8.02303999999998,2.7367
5.432320000000004,2.5869
2.6111999999999966,2.8212
0.0,2.6132
