Resources,MSE
0.0,0.08333333333333333
1.0,0.07614645735098546
2.0,0.06697549969102944
3.0,0.053807366697377644
4.0,0.04019670179490982
5.0,0.03062631502669439
6.0,0.023625939095409193
7.0,0.019115826859332857
8.0,0.015605571764318458
9.0,0.012932855774237473
10.0,0.011354057781167087
11.0,0.009975927489361582
12.0,0.008738690996343751
13.0,0.00782246952839182
14.0,0.007037436491426557
15.0,0.00654104699012981
16.0,0.0061310731800117675
17.0,0.005719457723294597
18.0,0.005567159130059274
19.0,0.005539427935415278
20.0,0.005463852823876919
21.0,0.005430519161906905
22.0,0.005384334476932751
23.0,0.005373335338823739
24.0,0.005348322656761642
25.0,0.0052964453334816905
26.0,0.005164740128244039
27.0,0.00504536298240446
28.0,0.0049314238078379926
29.0,0.004474407299742936
30.0,0.004215682074256086
31.0,0.003925272459266678
32.0,0.0035537648631173246
33.0,0.003253432733000106
34.0,0.0027908027208218772
35.0,0.0024294604073884394
36.0,0.0021202292559962758
37.0,0.001872749826606818
38.0,0.001695820544545523
39.0,0.0015506295698722759
40.0,0.0013599718523793394
41.0,0.0011839204361707638
42.0,0.0010526376060399883
43.0,0.0009859835826884595
44.0,0.0009543429066593477
45.0,0.0008604263387186005
46.0,0.0007904882619965256
47.0,0.0007258089547721502
48.0,0.0006620022414005883
49.0,0.0006330998221537047
50.0,0.0005611085893233777
51.0,0.0005173386707159663
52.0,0.0005030162624438498
53.0,0.0004723465916649526
54.0,0.0004507750042246208
55.0,0.00043815242976031065
56.0,0.0003984367497550549
57.0,0.0003961526283165652
58.0,0.00038496169870732243
59.0,0.0003595168304168981
60.0,0.0003067206875795494
61.0,0.0002891945939539015
62.0,0.0002704100081873417
63.0,0.000253539121187811
64.0,0.0002404545257700938
65.0,0.00022821568871095752
66.0,0.00021720932837147552
67.0,0.00021502762250061655
68.0,0.00020193676047537603
69.0,0.00020206046951454253
70.0,0.00020803184565595578
71.0,0.00020000633114467797
72.0,0.00019081107282149036
73.0,0.00018431167722634688
74.0,0.0001853028632045873
75.0,0.00017827061030192457
76.0,0.00017419908006824334
77.0,0.00016402116141398004
78.0,0.0001593737365433669
79.0,0.00014367261620123974
80.0,0.0001251225720304649
81.0,0.00012125388579790084
82.0,0.00010814218649652867
83.0,0.00010494878549815368
84.0,9.78166037947979e-05
85.0,9.188704220828091e-05
86.0,7.949006776070877e-05
87.0,7.920026344703665e-05
88.0,7.86640118501232e-05
89.0,7.569008677580966e-05
90.0,7.175003838260834e-05
91.0,6.805977815605169e-05
92.0,6.550198634725151e-05
93.0,6.234551425666472e-05
94.0,6.729210701339532e-05
95.0,6.706045588091212e-05
96.0,6.886571675943652e-05
97.0,6.699795211338639e-05
98.0,6.570875659452053e-05
99.0,6.357286451682445e-05
100.0,6.188411213226122e-05
101.0,5.502489789109364e-05
102.0,5.421708280571716e-05
103.0,5.017382659753407e-05
104.0,4.799961984815541e-05
105.0,4.5721132800867645e-05
106.0,4.488152042296437e-05
107.0,4.313553648931229e-05
108.0,4.16419810987402e-05
109.0,4.0430828028356206e-05
110.0,3.9579926953450075e-05
111.0,3.844309077996317e-05
112.0,3.767471280413429e-05
113.0,3.681314324462461e-05
114.0,3.6390990054164725e-05
115.0,3.583855728009155e-05
116.0,3.551504030120126e-05
117.0,3.4909071218135577e-05
118.0,3.418494116564915e-05
119.0,3.327605398507818e-05
120.0,3.2857310016139375e-05
121.0,3.228264103381524e-05
122.0,3.18914875652537e-05
123.0,3.140349471345667e-05
124.0,3.081389276489818e-05
125.0,3.0750465747339704e-05
