Resources,MSE
0.0,0.08333333333333333
25.427,0.0007792106596018234
73.344,0.0002717982170036965
123.87,0.00016114736926919668
174.02,0.0001147710317915758
224.21,8.910670527957229e-05
274.37,7.283055970285132e-05
324.44,6.159911297277319e-05
374.48,5.33731853116994e-05
424.55,4.708208761976506e-05
474.56,4.212299915754002e-05
524.58,3.8108303799397885e-05
574.55,3.479531655039232e-05
624.56,3.2010243277848916e-05
674.64,2.9634898055950688e-05
724.66,2.7590012415505586e-05
774.81,2.5804786787949166e-05
824.74,2.4243011951804894e-05
874.69,2.2858971574868847e-05
924.82,2.1620219229022983e-05
974.93,2.0509244541977298e-05
1024.8,1.9511433700148287e-05
1074.7,1.8605689619885762e-05
1124.8,1.777714570148617e-05
1174.8,1.7020697167755993e-05
1224.9,1.6324664936252182e-05
1274.9,1.5684552284455037e-05
1325.0,1.5091606048715705e-05
1374.9,1.4543973704495542e-05
1424.8,1.4034693762982092e-05
1474.9,1.355803516954323e-05
1525.0,1.3112690461828958e-05
1574.8,1.2698090207232832e-05
1624.7,1.2308146762341995e-05
1674.9,1.1939300595771099e-05
1725.1,1.1591918114690437e-05
1775.2,1.1264813229396656e-05
1824.9,1.0958063491019866e-05
1874.7,1.0667008010923017e-05
1925.0,1.0388315223037127e-05
1975.2,1.0124326732272304e-05
2024.7,9.876835856864895e-06
2074.7,9.638832930108823e-06
2125.2,9.409816320385428e-06
2175.0,9.194387745720013e-06
2224.6,8.989410474461085e-06
2275.1,8.789895136551022e-06
2325.1,8.600892772669803e-06
2374.7,8.4212653793359e-06
2425.1,8.24626650284084e-06
2475.0,8.080024563274672e-06
