Resources,Tau
510.99904000000004,11.67
510.00064,14.38
508.99968,14.7
508.00128,16.027
507.00032,15.429
505.99936,14.866
505.00095999999996,15.092
504.0,11.736
502.99904000000004,11.986
502.00064,12.54
500.99968,8.233
499.99872,13.526
499.00032,11.574
497.99936,5.3478
497.00095999999996,9.3586
496.0,11.609
494.99904000000004,11.259
494.00064,11.145
492.99968,11.224
492.00128,15.543
491.00032,11.76
489.99936,9.5902
489.00095999999996,14.338
488.0,13.098
486.99904000000004,11.462
486.00064,12.567
484.99968,17.735
483.99872,17.299
483.00032,14.906
481.99936,9.359
481.00095999999996,11.49
480.0,12.89
478.99904000000004,14.758
478.00064,11.327
476.99968,13.727
476.00128,11.698
475.00032,16.888
473.99936,15.617
473.00095999999996,8.7809
472.0,8.9874
470.99904000000004,12.686
470.00064,12.857
468.99968,14.01
467.99872,12.597
467.00032,12.136
465.99936,11.932
465.00095999999996,11.918
464.0,14.314
462.99904000000004,8.0066
462.00064,12.06
460.99968,5.2372
460.00128,13.557
459.00032,13.313
457.99936,6.1794
457.00095999999996,6.2918
456.0,11.247
454.99904000000004,14.807
454.00064,9.1347
452.99968,11.659
451.99872,8.9556
451.00032,13.602
449.99936,9.0339
449.00095999999996,12.611
448.0,6.7585
446.99904000000004,12.061
446.00064,11.259
444.99968,10.555
444.00128,8.64
443.00032,11.766
441.99936,9.7059
441.00095999999996,13.152
440.0,7.3556
438.99904000000004,13.743
438.00064,8.9268
436.99968,12.516
435.99872,13.874
435.00032,8.7211
433.99936,12.359
433.00095999999996,6.8044
432.0,14.071
430.99904000000004,9.0325
430.00064,10.89
428.99968,11.225
428.00128,10.803
427.00032,12.859
425.99936,9.1294
425.00095999999996,12.822
424.0,8.138
422.99904000000004,7.1912
422.00064,10.328
420.99968,12.331
419.99872,8.1948
419.00032,9.8137
417.99936,10.905
417.00095999999996,12.179
416.0,11.573
414.99904000000004,11.623
414.00064,11.645
412.99968,5.3821
412.00128,9.5979
411.00032,11.572
409.99936,12.94
409.00095999999996,8.9474
408.0,9.8519
406.99904000000004,13.666
406.00064,8.641
404.99968,8.581
403.99872,12.342
403.00032,9.5993
401.99936,5.7463
401.00095999999996,8.8635
400.0,12.681
398.99904000000004,8.1969
398.00064,5.9533
396.99968,2.9695
396.00128,6.0593
395.00032,13.999
393.99936,12.216
393.00095999999996,1.7518
392.0,8.2241
390.99904000000004,12.014
390.00064,11.536
388.99968,12.75
387.99872,3.2519
387.00032,6.1007
385.99936,9.2753
385.00095999999996,8.7939
384.0,11.951
382.99904,7.1165
382.00064,9.0042
380.99968,11.849
380.00128,11.675
379.00032,6.8422
377.99936,10.963
377.00096,8.7737
376.0,12.381
374.99904,5.8383
374.00064,9.5049
372.99968,8.7938
371.99872,5.6259
371.00032,12.576
369.99936,13.011
369.00096,9.529
368.0,10.428
366.99904,5.9548
366.00064,7.4569
364.99968,4.3011
364.00128,10.921
363.00032,8.0348
361.99936,12.304
361.00096,12.851
360.0,11.659
358.99904,8.0961
358.00064,11.814
356.99968,9.0167
355.99872,15.116
355.00032,4.8897
353.99936,5.3401
353.00096,9.4585
352.0,8.4613
350.99904,11.768
350.00064,11.638
348.99968,6.282
348.00128,4.6517
347.00032,9.5723
345.99936,3.9789
345.00096,11.14
344.0,5.2424
342.99904,15.195
342.00064,9.5697
340.99968,11.998
339.99872,9.5512
339.00032,13.003
337.99936,6.3236
337.00096,6.8715
336.0,11.735
334.99904,9.3788
334.00064,8.8947
332.99968,5.6581
332.00128,11.838
331.00032,13.433
329.99936,15.184
329.00096,10.597
328.0,7.2649
326.99904,8.4372
326.00064,9.3269
324.99968,5.6834
323.99872,9.2311
323.00032,11.206
321.99936,5.4238
321.00096,10.619
320.0,11.556
318.99904,6.191
318.00064,13.226
316.99968,8.9147
316.00128,5.0826
