Resources,MSE
0.0,0.08366666666666667
25.52,0.0074611140820247225
74.943,0.002873715444311837
124.95,0.0018410440405926959
174.88,0.0013823466261943475
224.9,0.001119215260825142
274.92,0.0009471494183451271
324.93,0.0008249540748888797
374.95,0.0007331252954206284
424.96,0.0006612919348626077
474.98,0.0006033341643508095
524.99,0.0005554651548812643
575.01,0.0005151532431950092
625.02,0.00048068757113050735
675.04,0.0004508251049634279
725.06,0.00042467290155508494
775.08,0.00040155538269181227
825.09,0.00038095885891478433
875.1,0.0003624748949377668
925.11,0.0003457836798750913
975.12,0.0003306282059305712
1012.0,0.000320311882880717
